"","name","module","disease","padj_CJD","lFC_CJD","padj_FFI","lFC_FFI"
"4189","Pdap1",2,"neither",NA,NA,NA,NA
"4191","Pdcd2",2,"neither",NA,NA,NA,NA
"4194","Pdcd5",2,"neither",NA,NA,NA,NA
"4197","Pdcl3",2,"neither",NA,NA,NA,NA
"4205","Pde6d",2,"neither",NA,NA,NA,NA
"4210","Pdgfa",2,"neither",NA,NA,NA,NA
"4215","Pdia4",2,"neither",NA,NA,NA,NA
"4216","Pdia6",2,"neither",NA,NA,NA,NA
"4227","Pdxp",2,"neither",NA,NA,NA,NA
"4228","Pdyn",2,"neither",NA,NA,NA,NA
"4229","Pdzd11",2,"neither",NA,NA,NA,NA
"4233","Pebp1",2,"neither",NA,NA,NA,NA
"4234","Pef1",2,"neither",NA,NA,NA,NA
"4238","Pelo",2,"neither",NA,NA,NA,NA
"4239","Penk",2,"neither",NA,NA,NA,NA
"4243","Pet100",2,"neither",NA,NA,NA,NA
"4244","Pex1",2,"neither",NA,NA,NA,NA
"4246","Pex14",2,"neither",NA,NA,NA,NA
"4255","Pfdn1",2,"neither",NA,NA,NA,NA
"4256","Pfdn4",2,"neither",NA,NA,NA,NA
"4257","Pfdn5",2,"neither",NA,NA,NA,NA
"4258","Pfdn6",2,"neither",NA,NA,NA,NA
"4263","Pfn1",2,"neither",NA,NA,NA,NA
"4266","Pgam2",2,"neither",NA,NA,NA,NA
"4268","Pgap4",2,"neither",NA,NA,NA,NA
"4272","Pgls",2,"neither",NA,NA,NA,NA
"4276","Pgp",2,"neither",NA,NA,NA,NA
"4282","Phax",2,"neither",NA,NA,NA,NA
"4283","Phb",2,"neither",NA,NA,NA,NA
"4292","Phf23",2,"neither",NA,NA,NA,NA
"4295","Phf5a",2,"neither",NA,NA,NA,NA
"4300","Phlda3",2,"neither",NA,NA,NA,NA
"4301","Phldb1",2,"neither",NA,NA,NA,NA
"4303","Phospho1",2,"neither",NA,NA,NA,NA
"4313","Pianp",2,"neither",NA,NA,NA,NA
"4323","Pigo",2,"neither",NA,NA,NA,NA
"4325","Pigq",2,"neither",NA,NA,NA,NA
"4326","Pigs",2,"neither",NA,NA,NA,NA
"4327","Pigt",2,"neither",NA,NA,NA,NA
"4329","Pigyl",2,"neither",NA,NA,NA,NA
"4331","Pih1d1",2,"neither",NA,NA,NA,NA
"4341","Pim3",2,"neither",NA,NA,NA,NA
"4342","Pin1",2,"neither",NA,NA,NA,NA
"4343","Pin4",2,"neither",NA,NA,NA,NA
"4352","Pithd1",2,"neither",NA,NA,NA,NA
"4364","Pkig",2,"FFI",NA,NA,0.03035779385808,0.319239287415725
"4384","Pld3",2,"neither",NA,NA,NA,NA
"4394","Plekhj1",2,"neither",NA,NA,NA,NA
"4398","Plekho1",2,"neither",NA,NA,NA,NA
"4408","Plpp7",2,"neither",NA,NA,NA,NA
"4409","Plppr2",2,"neither",NA,NA,NA,NA
"4416","Plvap",2,"neither",NA,NA,NA,NA
"4425","Pmm1",2,"neither",NA,NA,NA,NA
"4429","Pmvk",2,"neither",NA,NA,NA,NA
"4438","Pnoc",2,"neither",NA,NA,NA,NA
"4442","Pnpo",2,"neither",NA,NA,NA,NA
"4446","Podxl2",2,"neither",NA,NA,NA,NA
"4449","Polb",2,"neither",NA,NA,NA,NA
"4450","Pold2",2,"neither",NA,NA,NA,NA
"4452","Poldip3",2,"neither",NA,NA,NA,NA
"4453","Pole3",2,"FFI",NA,NA,0.0334397718161821,0.311543558054209
"4458","Polr1d",2,"neither",NA,NA,NA,NA
"4461","Polr2c",2,"neither",NA,NA,NA,NA
"4462","Polr2d",2,"neither",NA,NA,NA,NA
"4463","Polr2e",2,"neither",NA,NA,NA,NA
